:(Mode)update
:(EngineeringUnit)Unit	DefaultTagRate	IntegralDivisor	
Amp	10000	1
COUNTS	10000	1
BAR	10000	1
C	10000	1
Vdc	10000	1
°C	10000	1
Bar	10000	1
Sm3/h	10000	3600
Kgf/cm2	10000	1
Kg/h	10000	3600
Nm3/h	10000	3600
m3/h	10000	3600
mm	10000	1
kg/cm2	10000	1
%	10000	1
ppmH2O	10000	1
KCal/Nm3	10000	1
MOL%	10000	1
M	10000	1
V	10000	1
Kg/cm2	10000	1
m3/jour	10000	86400
-	10000	1
kVA	10000	1
min	10000	60
Nm3/min	10000	60
H_Min	10000	1
Nm3/j	10000	86400
Nm3	10000	1
:(AnalogTag)TagName	Description	IOServerComputerName	IOServerAppName	TopicName	ItemName	AcquisitionType	StorageType	AcquisitionRate	StorageRate	TimeDeadband	SamplesInAI	AllMode	EngUnits	MinEU	MaxEU	MinRaw	MaxRaw	Scaling	RawType	IntegerSize	Sign	ValueDeadband	InitialValue	CurrentEditor	RateDeadband	InterpolationType	RolloverValue	ServerTimeStamp	DeadbandType	
CB-E5-HR10	Courant de la Batterie	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Amp	0.000000	6.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PA1-E5-HR10	Pression Annulaire 1 du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PA2-E5-HR10	Pression Annulaire 2 du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PD-E5-HR10	Pression Differentielle	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	0.500000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PL-E5-HR10	Pression de Ligne du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PT-E5-HR10	Pression de Tete du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT-E5-HR10	Temperature Gaz du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	C	-15.000000	120.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT1-E5-HR10	Temperature de la Cabine	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	C	-30.000000	70.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VB-E5-HR10	Voltage de la Batterie	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	46.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VB1-E5-HR10	Voltage de la Cabine	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	30.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VP-E5-HR10	Voltage des Panneaux Solaires	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	46.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
CB-W6-HR100	Courant de la Batterie	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Amp	0.000000	10.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PA1-W6-HR100	Pression Annulaire 1 du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PA2-W6-HR100	Pression Annulaire 2 du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PD-W6-HR100	Pression Differentielle	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	0.500000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PL-W6-HR100	Pression de Ligne du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PT-W6-HR100	Pression de Tete du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT-W6-HR100	Temperature Gaz du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	°C	-15.000000	120.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VB-W6-HR100	Voltage de la Batterie	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	46.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT1-W6-HR100	Temperature de la Cabine	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	C	-40.000000	75.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PT-N2-HR101	Pression de Tete du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PL-N2-HR101	Pression de Ligne du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PA1-N2-HR101	Pression Annulaire 1 du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PA2-N2-HR101	Pression Annulaire 2 du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PD-N2-HR101	Pression Differentielle	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	0.500000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT-N2-HR101	Temperature Gaz du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	°C	-15.000000	120.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VB-N2-HR101	Voltage de la Batterie	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	46.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VP-N2-HR101	Voltage des Panneaux Solaires	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	46.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
